CustomerID,CompanyName,ContactName,ContactTitle
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant
MAISD,Maison Dewey,Catherine Dewey,Sales Agent
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner
LILAS,LILA-Supermercado,Carlos González,Accounting Manager
LETSS,Let's Stop N Shop,Jaime Yorres,Owner
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative
KOENE,Königlich Essen,Philip Cramer,Sales Associate
ISLAT,Island Trading,Helen Bennett,Marketing Manager
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager
FRANK,Frankenversand,Peter Franken,Marketing Manager
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative
FRANR,France restauration,Carine Schmitt,Marketing Manager
FOLKO,Folk och fä HB,Maria Larsson,Owner
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant
ERNSH,Ernst Handel,Roland Mendel,Sales Manager
EASTC,Eastern Connection,Ann Devon,Sales Agent
DUMON,Du monde entier,Janine Labrune,Owner
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate
CHOPS,Chop-suey Chinese,Yang Wang,Owner
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager
BONAP,Bon app',Laurence Lebihan,Owner
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator
AROUT,Around the Horn,Thomas Hardy,Sales Representative
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative
